ModbusRTU;Inverter;Delta;M88H;;;;;;;
460;3;40578;U16;;V14;;1.0;0.0;% VRef;0
461;3;40579;I16;;W14;;1.0;0.0;% VRef;0
462;3;40580;U16;;V15;;1.0;0.0;% VRef;0
463;3;40581;I16;;W15;;1.0;0.0;% VRef;0
464;3;40582;U16;;V16;;1.0;0.0;% VRef;0
465;3;40583;I16;;W16;;1.0;0.0;% VRef;0
466;3;40584;U16;;V17;;1.0;0.0;% VRef;0
467;3;40585;I16;;W17;;1.0;0.0;% VRef;0
468;3;40586;U16;;V18;;1.0;0.0;% VRef;0
469;3;40587;I16;;W18;;1.0;0.0;% VRef;0
470;3;40588;U16;;V19;;1.0;0.0;% VRef;0
471;3;40589;I16;;W19;;1.0;0.0;% VRef;0
472;3;40590;U16;;V20;;1.0;0.0;% VRef;0
473;3;40591;I16;;W20;;1.0;0.0;% VRef;0
474;3;40592_8;STRING;;CrvNam;;1.0;0.0;;0
475;3;40600;U16;;RmpPt1Tms;;1.0;0.0;Secs;4
476;3;40601;U16;;RmpDecTmm;;1.0;0.0;% WMax/min;0
477;3;40602;U16;;RmpIncTmm;;1.0;0.0;% WMax/min;0
478;3;40603;U16;;ReadOnly;;1.0;0.0;;4
479;3;40604;U16;;ID;;1.0;0.0;;4
480;3;40605;U16;;L;;1.0;0.0;;4
481;3;40606;U16;;ActCrv;;1.0;0.0;;4
482;3;40607;U16;;ModEna;;1.0;0.0;;4
483;3;40608;U16;;WinTms;;1.0;0.0;Secs;0
484;3;40609;U16;;RvrtTms;;1.0;0.0;Secs;0
485;3;40610;U16;;RmpTms;;1.0;0.0;Secs;0
486;3;40611;U16;;NCrv;;1.0;0.0;;4
487;3;40612;U16;;NPt;;1.0;0.0;;4
488;3;40613;I16;;Tms_SF;;1.0;0.0;;4
489;3;40614;I16;;Hz_SF;;1.0;0.0;;4
490;3;40615;U16;;Pad;;1.0;0.0;;4
491;3;40616;U16;;ActPt;;1.0;0.0;;4
492;3;40617;U16;;Tms1;;1.0;0.0;Secs;4
493;3;40618;U16;;Hz1;;1.0;0.0;Hz;4
494;3;40619;U16;;Tms2;;1.0;0.0;Secs;4
495;3;40620;U16;;Hz2;;1.0;0.0;Hz;4
496;3;40621;U16;;Tms3;;1.0;0.0;Secs;0
497;3;40622;U16;;Hz3;;1.0;0.0;Hz;0
498;3;40623;U16;;Tms4;;1.0;0.0;Secs;0
499;3;40624;U16;;Hz4;;1.0;0.0;Hz;0
500;3;40625;U16;;Tms5;;1.0;0.0;Secs;0
501;3;40626;U16;;Hz5;;1.0;0.0;Hz;0
502;3;40627;U16;;Tms6;;1.0;0.0;Secs;0
503;3;40628;U16;;Hz6;;1.0;0.0;Hz;0
504;3;40629;U16;;Tms7;;1.0;0.0;Secs;0
505;3;40630;U16;;Hz7;;1.0;0.0;Hz;0
506;3;40631;U16;;Tms8;;1.0;0.0;Secs;0
507;3;40632;U16;;Hz8;;1.0;0.0;Hz;0
508;3;40633;U16;;Tms9;;1.0;0.0;Secs;0
509;3;40634;U16;;Hz9;;1.0;0.0;Hz;0
510;3;40635;U16;;Tms10;;1.0;0.0;Secs;0
511;3;40636;U16;;Hz10;;1.0;0.0;Hz;0
512;3;40637;U16;;Tms11;;1.0;0.0;Secs;0
513;3;40638;U16;;Hz11;;1.0;0.0;Hz;0
514;3;40639;U16;;Tms12;;1.0;0.0;Secs;0
515;3;40640;U16;;Hz12;;1.0;0.0;Hz;0
516;3;40641;U16;;Tms13;;1.0;0.0;Secs;0
517;3;40642;U16;;Hz13;;1.0;0.0;Hz;0
518;3;40643;U16;;Tms14;;1.0;0.0;Secs;0
519;3;40644;U16;;Hz14;;1.0;0.0;Hz;0
520;3;40645;U16;;Tms15;;1.0;0.0;Secs;0
521;3;40646;U16;;Hz15;;1.0;0.0;Hz;0
522;3;40647;U16;;Tms16;;1.0;0.0;Secs;0
523;3;40648;U16;;Hz16;;1.0;0.0;Hz;0
524;3;40649;U16;;Tms17;;1.0;0.0;Secs;0
525;3;40650;U16;;Hz17;;1.0;0.0;Hz;0
526;3;40651;U16;;Tms18;;1.0;0.0;Secs;0
527;3;40652;U16;;Hz18;;1.0;0.0;Hz;0
528;3;40653;U16;;Tms19;;1.0;0.0;Secs;0
529;3;40654;U16;;Hz19;;1.0;0.0;Hz;0
530;3;40655;U16;;Tms20;;1.0;0.0;Secs;0
531;3;40656;U16;;Hz20;;1.0;0.0;Hz;0
532;3;40657_8;STRING;;CrvNam;;1.0;0.0;;0
533;3;40665;U16;;ReadOnly;;1.0;0.0;;4
534;3;40666;U16;;ID;;1.0;0.0;;4
535;3;40667;U16;;L;;1.0;0.0;;4
536;3;40668;U16;;ActCrv;;1.0;0.0;;4
537;3;40669;U16;;ModEna;;1.0;0.0;;4
538;3;40670;U16;;WinTms;;1.0;0.0;Secs;0
539;3;40671;U16;;RvrtTms;;1.0;0.0;Secs;0
540;3;40672;U16;;RmpTms;;1.0;0.0;Secs;0
541;3;40673;U16;;NCrv;;1.0;0.0;;4
542;3;40674;U16;;NPt;;1.0;0.0;;4
543;3;40675;I16;;Tms_SF;;1.0;0.0;;4
544;3;40676;I16;;Hz_SF;;1.0;0.0;;4
545;3;40677;U16;;Pad;;1.0;0.0;;4
546;3;40678;U16;;ActPt;;1.0;0.0;;4
547;3;40679;U16;;Tms1;;1.0;0.0;Secs;4
548;3;40680;U16;;Hz1;;1.0;0.0;Hz;4
549;3;40681;U16;;Tms2;;1.0;0.0;Secs;4
550;3;40682;U16;;Hz2;;1.0;0.0;Hz;4
551;3;40683;U16;;Tms3;;1.0;0.0;Secs;0
552;3;40684;U16;;Hz3;;1.0;0.0;Hz;0
553;3;40685;U16;;Tms4;;1.0;0.0;Secs;0
554;3;40686;U16;;Hz4;;1.0;0.0;Hz;0
555;3;40687;U16;;Tms5;;1.0;0.0;Secs;0
556;3;40688;U16;;Hz5;;1.0;0.0;Hz;0
557;3;40689;U16;;Tms6;;1.0;0.0;Secs;0
558;3;40690;U16;;Hz6;;1.0;0.0;Hz;0
559;3;40691;U16;;Tms7;;1.0;0.0;Secs;0
560;3;40692;U16;;Hz7;;1.0;0.0;Hz;0
561;3;40693;U16;;Tms8;;1.0;0.0;Secs;0
562;3;40694;U16;;Hz8;;1.0;0.0;Hz;0
563;3;40695;U16;;Tms9;;1.0;0.0;Secs;0
564;3;40696;U16;;Hz9;;1.0;0.0;Hz;0
565;3;40697;U16;;Tms10;;1.0;0.0;Secs;0
566;3;40698;U16;;Hz10;;1.0;0.0;Hz;0
567;3;40699;U16;;Tms11;;1.0;0.0;Secs;0
568;3;40700;U16;;Hz11;;1.0;0.0;Hz;0
569;3;40701;U16;;Tms12;;1.0;0.0;Secs;0
570;3;40702;U16;;Hz12;;1.0;0.0;Hz;0
571;3;40703;U16;;Tms13;;1.0;0.0;Secs;0
572;3;40704;U16;;Hz13;;1.0;0.0;Hz;0
573;3;40705;U16;;Tms14;;1.0;0.0;Secs;0
574;3;40706;U16;;Hz14;;1.0;0.0;Hz;0
575;3;40707;U16;;Tms15;;1.0;0.0;Secs;0
576;3;40708;U16;;Hz15;;1.0;0.0;Hz;0
577;3;40709;U16;;Tms16;;1.0;0.0;Secs;0
578;3;40710;U16;;Hz16;;1.0;0.0;Hz;0
579;3;40711;U16;;Tms17;;1.0;0.0;Secs;0
580;3;40712;U16;;Hz17;;1.0;0.0;Hz;0
581;3;40713;U16;;Tms18;;1.0;0.0;Secs;0
582;3;40714;U16;;Hz18;;1.0;0.0;Hz;0
583;3;40715;U16;;Tms19;;1.0;0.0;Secs;0
584;3;40716;U16;;Hz19;;1.0;0.0;Hz;0
585;3;40717;U16;;Tms20;;1.0;0.0;Secs;0
586;3;40718;U16;;Hz20;;1.0;0.0;Hz;0
587;3;40719_8;STRING;;CrvNam;;1.0;0.0;;0
588;3;40727;U16;;ReadOnly;;1.0;0.0;;4
589;3;40728;U16;;ID;;1.0;0.0;;4
590;3;40729;U16;;L;;1.0;0.0;;4
591;3;40730;U16;;ActCrv;;1.0;0.0;;4
592;3;40731;U16;;ModEna;;1.0;0.0;;4
593;3;40732;U16;;WinTms;;1.0;0.0;Secs;0
594;3;40733;U16;;RvrtTms;;1.0;0.0;Secs;0
595;3;40734;U16;;RmpTms;;1.0;0.0;Secs;0
596;3;40735;U16;;NCrv;;1.0;0.0;;4
597;3;40736;U16;;NPt;;1.0;0.0;;4
598;3;40737;I16;;Tms_SF;;1.0;0.0;;4
599;3;40738;I16;;Hz_SF;;1.0;0.0;;4
600;3;40739;U16;;Pad;;1.0;0.0;;4
601;3;40740;U16;;ActPt;;1.0;0.0;;4
602;3;40741;U16;;Tms1;;1.0;0.0;Secs;4
603;3;40742;U16;;Hz1;;1.0;0.0;Hz;4
604;3;40743;U16;;Tms2;;1.0;0.0;Secs;4
605;3;40744;U16;;Hz2;;1.0;0.0;Hz;4
606;3;40745;U16;;Tms3;;1.0;0.0;Secs;0
607;3;40746;U16;;Hz3;;1.0;0.0;Hz;0
608;3;40747;U16;;Tms4;;1.0;0.0;Secs;0
609;3;40748;U16;;Hz4;;1.0;0.0;Hz;0
610;3;40749;U16;;Tms5;;1.0;0.0;Secs;0
611;3;40750;U16;;Hz5;;1.0;0.0;Hz;0
612;3;40751;U16;;Tms6;;1.0;0.0;Secs;0
613;3;40752;U16;;Hz6;;1.0;0.0;Hz;0
614;3;40753;U16;;Tms7;;1.0;0.0;Secs;0
615;3;40754;U16;;Hz7;;1.0;0.0;Hz;0
616;3;40755;U16;;Tms8;;1.0;0.0;Secs;0
617;3;40756;U16;;Hz8;;1.0;0.0;Hz;0
618;3;40757;U16;;Tms9;;1.0;0.0;Secs;0
619;3;40758;U16;;Hz9;;1.0;0.0;Hz;0
620;3;40759;U16;;Tms10;;1.0;0.0;Secs;0
621;3;40760;U16;;Hz10;;1.0;0.0;Hz;0
622;3;40761;U16;;Tms11;;1.0;0.0;Secs;0
623;3;40762;U16;;Hz11;;1.0;0.0;Hz;0
624;3;40763;U16;;Tms12;;1.0;0.0;Secs;0
625;3;40764;U16;;Hz12;;1.0;0.0;Hz;0
626;3;40765;U16;;Tms13;;1.0;0.0;Secs;0
627;3;40766;U16;;Hz13;;1.0;0.0;Hz;0
628;3;40767;U16;;Tms14;;1.0;0.0;Secs;0
629;3;40768;U16;;Hz14;;1.0;0.0;Hz;0
630;3;40769;U16;;Tms15;;1.0;0.0;Secs;0
631;3;40770;U16;;Hz15;;1.0;0.0;Hz;0
632;3;40771;U16;;Tms16;;1.0;0.0;Secs;0
633;3;40772;U16;;Hz16;;1.0;0.0;Hz;0
634;3;40773;U16;;Tms17;;1.0;0.0;Secs;0
635;3;40774;U16;;Hz17;;1.0;0.0;Hz;0
636;3;40775;U16;;Tms18;;1.0;0.0;Secs;0
637;3;40776;U16;;Hz18;;1.0;0.0;Hz;0
638;3;40777;U16;;Tms19;;1.0;0.0;Secs;0
639;3;40778;U16;;Hz19;;1.0;0.0;Hz;0
640;3;40779;U16;;Tms20;;1.0;0.0;Secs;0
